social_media_hours,gaming_hours,online_work_hours,physical_activity_hours,caffeine_intake,screen_time_before_bed,age,sleep_hours,sleep_category
1.872700594,2.792646856,1.481063431,1.03816357,1.308528419,2.482556766,36,5.603291213,<6
4.753571532,2.144385465,4.335207579,0.958363755,1.234893995,2.293583384,42,4.319720386,<6
3.659969709,1.238110465,6.983566687,0.051284132,4.531272903,1.720586854,22,3.501414305,<6
2.993292421,3.255180079,5.857799091,0.682495655,1.247730999,2.868141431,25,4.562907422,<6
0.780093202,2.73892469,6.452489183,0.760391238,1.359748631,0.601423547,24,5.142247502,<6
0.779972602,0.650467757,5.270266934,0.797645562,3.796991312,0.327792631,31,6.016364103,6-8
0.290418061,3.643708738,5.538212516,1.160344738,2.248699212,2.561885901,41,5.279361648,<6
4.330880729,3.290148972,6.793565213,1.067205093,3.883552785,1.31744945,40,3.746176272,<6
3.005575059,3.799199653,1.997344071,1.215810186,0.326830788,2.540906563,20,5.719269296,<6
3.540362889,2.902878034,3.915399709,1.529766523,2.437855968,2.679270616,35,4.673709279,<6
0.102922471,2.453660784,1.769675535,1.625971477,0.168068001,0.187372781,33,7.348609063,6-8
4.849549261,1.672972145,7.901344064,1.436246152,0.313266017,2.650394289,40,3.16831645,<6
4.162213204,3.730913933,7.552474717,1.911047392,4.532187267,1.344957166,36,3.259381441,<6
1.061695553,3.464255558,0.315414491,0.036465165,0.696226856,1.531297467,36,6.283007213,6-8
0.909124836,0.18087468,5.64460138,0.391555971,2.662103411,1.879777533,35,7.523907898,6-8
0.917022549,0.105467898,7.401986539,0.01512575,2.055478013,2.77914782,37,5.272457459,<6
1.521211215,1.505853468,1.444602761,1.294949428,1.736716631,0.057348283,33,7.445619585,6-8
2.623782158,3.242213323,4.543561844,1.796061098,4.499166728,1.430530405,25,5.394063598,<6
2.159725093,3.949104517,7.323906381,0.486964593,0.109116984,2.063166127,45,4.546120704,<6
1.456145701,0.601667564,0.271567829,1.85406909,3.318948431,2.168120873,18,8.14074944,>8
3.059264474,2.376522861,5.579362138,0.120534781,4.816972171,2.077597295,34,4.382054431,<6
0.697469303,1.523563427,2.378792059,1.868872054,2.800840917,0.403305388,29,7.193595031,6-8
1.460723243,3.879657591,7.395169563,0.703245374,4.68411231,0.898186765,47,4.342709244,<6
1.831809216,3.368475693,7.768465961,0.202841657,0.261289396,1.076146576,38,5.16636749,<6
2.280349921,3.353314819,7.554131913,0.971743518,2.093966595,2.413311623,28,4.973365224,<6
3.925879807,1.874772639,3.793713733,0.513553135,1.300788955,0.836279617,22,4.42703396,<6
0.998368911,1.659278009,6.896341208,0.569745804,3.654104825,0.632114892,44,4.769653562,<6
2.571172192,1.093628288,6.756395188,0.61457993,4.906485452,2.872344057,29,4.627281495,<6
2.962072844,0.225501987,2.552803786,1.606051796,1.282650312,0.026589855,34,5.89428345,<6
0.232252064,3.458889505,6.631323793,1.078322553,3.270873007,2.993462567,23,5.484589536,<6
3.03772426,3.251604037,0.296061078,0.622615398,0.990488164,2.030463897,18,6.152899314,6-8
0.852620618,3.998870693,4.770159028,1.220667567,2.826651273,2.485407898,22,5.274880992,<6
0.325257965,3.986547348,1.840070698,1.432301348,2.319662433,0.883858189,42,6.449705144,6-8
4.744427686,2.221726822,0.964535086,0.545248001,4.860026648,0.042945833,45,4.474944196,<6
4.828160165,3.075949661,0.615625613,0.827098203,3.042636363,2.213608556,31,4.908091162,<6
4.041986741,3.77906292,5.570310207,0.243772187,1.74753186,2.502433791,22,3.0,<6
1.523068846,3.398589563,2.71899971,0.362298699,0.570478924,2.221428396,39,5.423380336,<6
0.48836057,0.989392407,5.798134172,1.362235708,0.756234144,0.428550862,41,6.738064303,6-8
3.421165133,1.802176541,0.522850726,0.362876695,1.12658465,2.260283767,44,6.240438348,6-8
2.200762469,0.516637661,2.522322703,1.050326767,1.254833307,2.306768346,18,6.183826403,6-8
0.610191174,3.816204109,4.315930339,1.418092523,4.253080289,1.975621547,47,4.748700487,<6
2.475884551,2.424698538,6.325785319,0.213753846,2.806113941,2.298347798,35,4.862861582,<6
0.171942606,0.914571222,2.550020023,1.134624439,2.616954557,2.537764319,33,6.890664008,6-8
4.54660201,2.686802738,5.007131011,0.513125567,0.573844359,1.840812343,26,3.420951876,<6
1.293899908,2.472512962,7.087821986,1.92585375,4.300698467,0.265814142,36,5.029245344,<6
3.312611422,1.432650872,4.926905505,0.967091293,3.614071516,1.462883429,39,4.764975484,<6
1.55855538,0.454230369,1.863675798,1.6119851,0.33834181,0.232948004,22,6.859107056,6-8
2.600340106,2.686292782,0.195206252,1.100453084,3.539175486,1.222629093,44,4.72833621,<6
2.733551397,2.081230804,6.960790991,0.086825066,2.717691087,1.221319467,19,4.819508372,<6
0.924272278,3.089273567,0.170155287,1.266302751,0.408626729,0.198029532,47,7.553516407,6-8
4.847923139,2.080654004,6.997613381,1.902806684,2.291503208,1.046461602,32,4.219772233,<6
3.875664117,3.408726001,4.231497072,1.20322364,2.423481436,0.332994296,24,3.74302684,<6
4.697494708,2.207627355,7.512541588,1.638377719,0.828872701,2.42470563,21,3.794336401,<6
4.474136752,2.243751886,6.390265886,1.768412927,4.728490735,2.843064078,18,3.866167028,<6
2.989499894,3.506614411,7.983472884,0.456159544,4.249876857,0.216949426,30,3.867828525,<6
4.609371175,1.613931465,2.805694524,0.42408968,3.345111687,2.865345622,37,4.776882048,<6
0.44246251,0.536060914,6.137506311,1.221961978,2.311477805,1.567729798,39,6.158803122,6-8
0.979914312,0.115130705,3.215447309,0.82205694,2.058827708,0.898697034,24,6.91414626,6-8
0.226136445,3.020549023,3.839004962,1.679722606,3.254867336,0.230586226,32,6.620036329,6-8
1.626651654,2.481238205,5.020043706,1.800046247,2.727159347,1.501872804,40,6.433503071,6-8
1.943386448,2.816319072,6.989416913,0.706842759,0.311365529,2.383546633,31,5.318697216,<6
1.356745159,0.851856646,7.872667754,0.473741118,2.562513244,2.121259432,40,5.771936231,<6
4.143687546,0.545485902,6.146187311,1.56105103,4.032018086,0.150678034,36,4.642299809,<6
1.783766633,0.058178663,3.342134257,0.549612071,2.296199388,0.218705506,49,7.062729488,6-8
1.404672548,1.402350235,3.370856018,1.645228637,0.259782888,1.208619848,39,6.875259152,6-8
2.713480416,2.359670747,5.900658413,0.847476507,3.931390997,0.885871482,46,4.185786783,<6
0.704621125,1.56897618,1.910217166,1.335099799,1.006818911,0.697152969,41,7.796486184,6-8
4.010984904,1.749899688,0.883792905,0.191070628,1.293104174,0.843013497,37,5.569741468,<6
0.372753218,3.616634778,2.836977261,1.247718649,0.823531767,2.41044823,46,6.231677913,6-8
4.934434683,1.393021868,2.297911933,0.903535357,1.651075324,2.787684161,41,4.521500303,<6
3.861223846,2.055957957,2.370464964,1.173216926,3.783757528,1.215308084,35,5.100384795,<6
0.993578408,3.134612051,1.868862008,0.336028415,2.596929298,2.718333006,48,6.261762772,6-8
0.027610586,1.586171129,0.336745517,1.47374749,1.024406371,0.964487104,27,7.881324008,6-8
4.077307142,2.488346801,0.142991478,1.725594155,4.389150391,1.429310959,26,5.420661637,<6
3.534286719,3.449454835,7.901779118,0.4334796,4.397909275,0.678086993,42,4.157896006,<6
3.64503584,3.798082495,3.42218507,0.191429111,4.352892125,1.921428127,25,4.511531414,<6
3.856351733,0.588293924,3.074613177,0.047277172,1.193981057,2.936943346,43,5.270516162,<6
0.370223259,3.706350501,5.437178262,1.283943001,2.256196721,1.810479288,47,6.245766087,6-8
1.792328643,1.968465172,1.746031103,1.214188072,4.924948281,1.073442252,46,5.519589548,<6
0.579345298,1.032977553,7.599689472,1.093394825,3.860062382,1.943452338,27,6.021471925,6-8
4.315517129,1.836543025,6.290760115,0.463894192,0.135837106,0.368762035,34,5.063364227,<6
3.116490634,3.920130301,0.715288018,0.781811992,0.326022956,2.665977241,19,5.215576343,<6
1.654490124,1.970472376,3.340646206,1.18895267,2.319656884,1.509251852,23,5.614387132,<6
0.317791751,1.315006441,7.03294646,0.993533718,4.546101029,1.348049226,43,5.557418468,<6
1.554911609,2.533603417,7.557856178,1.97557104,2.69350899,1.757594365,22,4.729395829,<6
1.62591661,0.960582475,3.73921209,0.272879505,2.48906254,1.874351588,45,5.591601178,<6
3.648030892,0.303453312,4.907291114,1.390289108,0.5273685,0.215327419,47,5.282586171,<6
3.187787357,0.515518888,1.336271569,0.808637536,3.283900524,2.047851664,26,5.19561404,<6
4.436063713,0.512183356,7.929349009,0.85639923,4.110515803,0.725795041,22,3.896120691,<6
2.361074626,0.607610774,1.853373611,1.435195531,1.902100038,2.141857898,35,6.957991975,6-8
0.59797123,0.555308691,7.541854193,1.384872303,3.878059255,2.467604383,43,5.599828615,<6
3.566223936,2.563498979,5.197173192,1.982511987,4.82238327,2.411875523,37,5.280560931,<6
3.803925243,0.727520338,4.861894359,0.256788579,1.018832296,1.657502902,26,5.137951794,<6
2.806385988,1.382669133,4.101508088,0.208219299,2.616648156,1.560509677,34,5.677795915,<6
3.8548359,3.58715364,1.845358494,1.448677634,1.43568979,0.428627884,44,4.589481294,<6
2.468977982,1.895846561,1.412224256,1.156773834,3.964272095,2.326038451,34,6.292179744,6-8
2.613664147,2.670230954,1.763889673,0.548321333,2.887966829,0.814228141,29,4.869053473,<6
